2016-09-28 19:30:59,011 | WARN  | Transport Connection to: tcp://10.24.230.215:43234 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:43234@51515
2016-09-28 19:32:54,136 | WARN  | Transport Connection to: tcp://10.24.230.215:45794 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:45794@51515
2016-09-28 19:33:04,172 | WARN  | Transport Connection to: tcp://10.24.230.215:44892 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:44892@51515
2016-09-28 19:35:21,439 | WARN  | Transport Connection to: tcp://10.170.108.190:42869 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:42869@51515
2016-09-28 19:35:39,682 | WARN  | Transport Connection to: tcp://10.170.108.190:36527 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:36527@51515
2016-09-28 19:36:17,116 | WARN  | Transport Connection to: tcp://10.24.230.215:40116 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:40116@51515
2016-09-28 19:36:44,266 | WARN  | Transport Connection to: tcp://10.169.105.141:51150 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.169.105.141:51150@51515
2016-09-28 19:37:36,802 | WARN  | Transport Connection to: tcp://10.169.105.141:35891 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.169.105.141:35891@51515
2016-09-28 19:39:35,695 | WARN  | Transport Connection to: tcp://10.24.230.215:59999 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:59999@51515
2016-09-29 12:29:01,393 | WARN  | Transport Connection to: tcp://10.169.105.141:50835 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.169.105.141:50835@51515
2016-10-09 17:55:50,398 | WARN  | Transport Connection to: tcp://10.170.108.190:53338 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:53338@51515
2016-10-09 17:59:37,715 | WARN  | Transport Connection to: tcp://10.24.230.215:56429 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:56429@51515
2016-10-09 18:01:34,742 | WARN  | Transport Connection to: tcp://10.24.230.215:58231 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:58231@51515
2016-10-09 18:03:05,034 | WARN  | Transport Connection to: tcp://10.24.230.215:58470 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:58470@51515
2016-10-09 18:36:06,002 | WARN  | Transport Connection to: tcp://10.24.230.215:46686 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://10.24.230.215:46686 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2016-10-09 19:20:33,981 | WARN  | Transport Connection to: tcp://10.24.230.215:44294 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://10.24.230.215:44294 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2016-10-11 18:06:25,824 | WARN  | Transport Connection to: tcp://10.24.230.215:54509 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:54509@51515
2016-10-11 18:06:25,825 | WARN  | Transport Connection to: tcp://10.24.230.215:33981 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:33981@51515
2016-10-11 18:06:25,825 | WARN  | Transport Connection to: tcp://10.24.230.215:53447 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:53447@51515
2016-10-11 18:06:25,828 | WARN  | Transport Connection to: tcp://10.24.230.215:40775 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:40775@51515
2016-10-11 18:06:25,829 | WARN  | Transport Connection to: tcp://10.24.230.215:42779 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:42779@51515
2016-10-11 18:06:25,832 | WARN  | Transport Connection to: tcp://10.24.230.215:57020 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:57020@51515
2016-10-11 18:10:35,697 | WARN  | Transport Connection to: tcp://10.169.105.141:51030 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.169.105.141:51030@51515
2016-10-11 18:10:49,311 | WARN  | Transport Connection to: tcp://10.24.230.215:56816 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:56816@51515
2016-10-11 21:08:25,466 | WARN  | Transport Connection to: tcp://10.169.105.141:45959 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.169.105.141:45959@51515
2016-10-11 21:08:43,562 | WARN  | Transport Connection to: tcp://10.170.108.190:42942 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:42942@51515
2016-10-12 11:48:07,836 | WARN  |  | org.eclipse.jetty.servlet.ServletHandler | qtp494090564-221572
org.apache.jasper.JasperException: javax.el.ELException: javax.management.MalformedObjectNameException: Invalid character ',' in key part of property
	at org.apache.jasper.servlet.JspServletWrapper.service(JspServletWrapper.java:418)[jsp-2.1-glassfish-2.1.v20100127.jar:]
	at org.apache.jasper.servlet.JspServlet.serviceJspFile(JspServlet.java:486)[jsp-2.1-glassfish-2.1.v20100127.jar:]
	at org.apache.jasper.servlet.JspServlet.service(JspServlet.java:380)[jsp-2.1-glassfish-2.1.v20100127.jar:]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:668)[geronimo-servlet_3.0_spec-1.0.jar:1.0]
	at org.eclipse.jetty.servlet.JspPropertyGroupServlet.service(JspPropertyGroupServlet.java:132)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:684)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1496)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:99)[spring-web-3.2.11.RELEASE.jar:3.2.11.RELEASE]
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:106)[spring-web-3.2.11.RELEASE.jar:3.2.11.RELEASE]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1484)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.apache.activemq.web.SessionFilter.doFilter(SessionFilter.java:45)[activemq-web-5.12.0.jar:5.12.0]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1484)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.apache.activemq.web.filter.ApplicationContextFilter.doFilter(ApplicationContextFilter.java:102)[file:/home/apps/apache-activemq-5.12.0/webapps/admin/WEB-INF/classes/:]
	at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1476)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:501)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:137)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:522)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:231)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1086)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:429)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:193)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1020)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:135)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.handler.HandlerCollection.handle(HandlerCollection.java:154)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:522)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.handler.HandlerCollection.handle(HandlerCollection.java:154)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:116)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.Server.handle(Server.java:370)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.AbstractHttpConnection.handleRequest(AbstractHttpConnection.java:494)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.AbstractHttpConnection.headerComplete(AbstractHttpConnection.java:971)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.AbstractHttpConnection$RequestHandler.headerComplete(AbstractHttpConnection.java:1033)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:644)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.http.HttpParser.parseAvailable(HttpParser.java:235)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.server.AsyncHttpConnection.handle(AsyncHttpConnection.java:82)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.io.nio.SelectChannelEndPoint.handle(SelectChannelEndPoint.java:696)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.io.nio.SelectChannelEndPoint$1.run(SelectChannelEndPoint.java:53)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:608)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:543)[jetty-all-8.1.16.v20140903.jar:8.1.16.v20140903]
	at java.lang.Thread.run(Thread.java:745)[:1.7.0_79]
2016-10-12 11:48:07,864 | WARN  | /admin/topicSubscribers.jsp | org.eclipse.jetty.servlet.ServletHandler | qtp494090564-221572
javax.el.ELException: javax.management.MalformedObjectNameException: Invalid character ',' in key part of property
	at javax.el.BeanELResolver.getValue(BeanELResolver.java:298)[jsp-api-2.1-glassfish-2.1.v20100127.jar:]
	at javax.el.CompositeELResolver.getValue(CompositeELResolver.java:175)[jsp-api-2.1-glassfish-2.1.v20100127.jar:]
	at com.sun.el.parser.AstValue.getValue(AstValue.java:138)[jsp-2.1-glassfish-2.1.v20100127.jar:]
	at com.sun.el.ValueExpressionImpl.getValue(ValueExpressionImpl.java:206)[jsp-2.1-glassfish-2.1.v20100127.jar:]
	at org.apache.jasper.runtime.PageContextImpl.evaluateExpression(PageContextImpl.java:1001)[jsp-2.1-glassfish-2.1.v20100127.jar:]
	at org.apache.jsp.topicSubscribers_jsp._jspx_meth_c_forEach_0(org.apache.jsp.topicSubscribers_jsp:573)
